Model Level,Predictors,N (observations),DF (residuals),DF (model),R-squared,F-value,P-value (F),SSR,SSTO,MSE (model),MSE (residuals),MSE (total),Beta coefs,P-values (beta coefs),T-values (beta coefs),Std Beta coefs,Partial correlations,Semi-partial correlations,Unique variance %,R-squared change,F-value change,P-value (F-value change)
1,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right']",86.0,81.0,4.0,0.2267537893637651,5.938295165828351,0.0003053298028306849,71.67710175317488,92.69635048608674,5.2548121832279655,0.8849024907799368,1.0905452998363145,"{'const': 0.1468586232504087, 'Age_zscore': 0.49696648917069225, 'Gender_F': -0.3028384839644492, 'Education': 0.010417773880668356, 'Handedness_right': -0.04577756916818131}","{'const': 0.8265362916168849, 'Age_zscore': 1.1021592037679127e-05, 'Gender_F': 0.28200071268037935, 'Education': 0.7835758760845926, 'Handedness_right': 0.8866862322456994}","{'const': 0.2198561943465538, 'Age_zscore': 4.687735061486235, 'Gender_F': -1.0830478277685904, 'Education': 0.2755755704930704, 'Handedness_right': -0.14294802379468272}","{'Age_zscore': 0.4758359069249409, 'Gender_F': -0.11068921912372062, 'Education': 0.02822316539681418, 'Handedness_right': -0.01472648699295355}","{'Age_zscore': 0.46195264002342107, 'Gender_F': -0.11947666291569153, 'Education': 0.030605164192733552, 'Handedness_right': -0.01588111069116591}","{'Age_zscore': 0.45801473410760857, 'Gender_F': -0.10581909095860476, 'Education': 0.026925086420293266, 'Handedness_right': -0.013966723855075011}","{'Age_zscore': 20.97774966596634, 'Gender_F': 1.1197680011305466, 'Education': 0.07249602787402609, 'Handedness_right': 0.01950693752439214}",,,
2,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right', 'IAF_fc_zscore']",86.0,80.0,5.0,0.22785725122329392,4.721557024719268,0.0007879439998052496,71.57481486589597,92.69635048608674,4.224307124038154,0.8946851858236997,1.0905452998363145,"{'const': 0.1966311706239901, 'Age_zscore': 0.48202205370439105, 'Gender_F': -0.28530357033221543, 'Education': 0.006519255903265338, 'Handedness_right': -0.05427938208806322, 'IAF_fc_zscore': -0.03810362830622659}","{'const': 0.7756421079801633, 'Age_zscore': 7.476194380634247e-05, 'Gender_F': 0.3213316862434093, 'Education': 0.8700497914575714, 'Handedness_right': 0.8669637048313913, 'IAF_fc_zscore': 0.7361561389180036}","{'const': 0.28596762130503006, 'Age_zscore': 4.17703325446061, 'Gender_F': -0.9979103805728671, 'Education': 0.16412106004540686, 'Handedness_right': -0.16805555841292694, 'IAF_fc_zscore': -0.3381231125406172}","{'Age_zscore': 0.46152689583758316, 'Gender_F': -0.10428010667557586, 'Education': 0.017661550320596003, 'Handedness_right': -0.01746149104966064, 'IAF_fc_zscore': -0.036912853688203635}","{'Age_zscore': 0.42313830680137954, 'Gender_F': -0.11088178872586386, 'Education': 0.018346204048362874, 'Handedness_right': -0.018785866903932243, 'IAF_fc_zscore': -0.037776329960215196}","{'Age_zscore': 0.4103663467101068, 'Gender_F': -0.09803820373765719, 'Education': 0.0161238265836434, 'Handedness_right': -0.016510365455336302, 'IAF_fc_zscore': -0.033218396402127905}","{'Age_zscore': 16.840053851219956, 'Gender_F': 0.9611489392106379, 'Education': 0.025997778369940557, 'Handedness_right': 0.027259216746876234, 'IAF_fc_zscore': 0.1103461859528904}",0.0011034618595288093,0.11432723923414494,0.7361561389180199
3,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right', 'IAF_fc_zscore', 'Age_IAF_fc']",86.0,79.0,6.0,0.23001659062124935,3.9332688725808485,0.001719443736238616,71.37465198424468,92.69635048608674,3.5536164169736773,0.9034766073955023,1.0905452998363145,"{'const': 0.21627237024503898, 'Age_zscore': 0.47640052816639744, 'Gender_F': -0.2960710112198233, 'Education': 0.006357928394637372, 'Handedness_right': -0.04443649275023855, 'IAF_fc_zscore': -0.025956382801421995, 'Age_IAF_fc': 0.05669165932256137}","{'const': 0.7555375269921949, 'Age_zscore': 0.0001043762844999488, 'Gender_F': 0.3074285288907403, 'Education': 0.8738601681611486, 'Handedness_right': 0.8916736273427117, 'IAF_fc_zscore': 0.8237403212010445, 'Age_IAF_fc': 0.6391604374411209}","{'const': 0.3124292459825073, 'Age_zscore': 4.086568192723779, 'Gender_F': -1.0272698647129235, 'Education': 0.15927315188530689, 'Handedness_right': -0.13662648121351484, 'IAF_fc_zscore': -0.22347807912846424, 'Age_IAF_fc': 0.47068820579483384}","{'Age_zscore': 0.4561443926689356, 'Gender_F': -0.10821566865636445, 'Education': 0.017224492172548452, 'Handedness_right': -0.014295067308941188, 'IAF_fc_zscore': -0.0251452211564673, 'Age_IAF_fc': 0.048718146266278295}","{'Age_zscore': 0.4177367577711969, 'Gender_F': -0.1148125991130452, 'Education': 0.0179167531914396, 'Handedness_right': -0.01536986434172438, 'IAF_fc_zscore': -0.025135304494965708, 'Age_IAF_fc': 0.05288246074459195}","{'Age_zscore': 0.40344644089787884, 'Gender_F': -0.10141721640617882, 'Education': 0.01572424176675415, 'Handedness_right': -0.013488449226452941, 'IAF_fc_zscore': -0.02206287314710823, 'Age_IAF_fc': 0.0464686926645808}","{'Age_zscore': 16.276903067316564, 'Gender_F': 1.0285451783577706, 'Education': 0.024725177913933565, 'Handedness_right': 0.018193826253459895, 'IAF_fc_zscore': 0.048677037150538935, 'Age_IAF_fc': 0.21593393979552652}",0.0021593393979554287,0.22154738707437222,0.6391604374411173
