Model Level,Predictors,N (observations),DF (residuals),DF (model),R-squared,F-value,P-value (F),SSR,SSTO,MSE (model),MSE (residuals),MSE (total),Beta coefs,P-values (beta coefs),T-values (beta coefs),Std Beta coefs,Partial correlations,Semi-partial correlations,Unique variance %,R-squared change,F-value change,P-value (F-value change)
1,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right']",87.0,82.0,4.0,0.11908961903859971,2.771379748785443,0.03249194082712447,74.87679220375922,84.99933003632088,2.5306344581404154,0.9131316122409662,0.9883643027479173,"{'const': 0.41234482619489166, 'Age_zscore': 0.2805497859655823, 'Gender_F': -0.06022107231331102, 'Education': -0.04055503709823028, 'Handedness_right': 0.23602106946119517}","{'const': 0.5394473064101922, 'Age_zscore': 0.010456207225115692, 'Gender_F': 0.8323740272039876, 'Education': 0.28401561759755034, 'Handedness_right': 0.4701905884606089}","{'const': 0.6162336112153131, 'Age_zscore': 2.6206453799499245, 'Gender_F': -0.21233319620964447, 'Education': -1.0784039517322102, 'Handedness_right': 0.725533198668428}","{'Age_zscore': 0.2809418881193759, 'Gender_F': -0.023014046409077546, 'Education': -0.11670696878133097, 'Handedness_right': 0.07935723636708783}","{'Age_zscore': 0.2779944247578306, 'Gender_F': -0.023441835363498528, 'Education': -0.11825418359169997, 'Handedness_right': 0.07986579947072521}","{'Age_zscore': 0.2716234086127885, 'Gender_F': -0.0220078103498361, 'Education': -0.11177390099098218, 'Handedness_right': 0.07519972064584396}","{'Age_zscore': 7.3779276106429865, 'Gender_F': 0.04843437163943529, 'Education': 1.2493404942741888, 'Handedness_right': 0.5654997985212971}",,,
2,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right', 'IAF_fc_zscore']",87.0,81.0,5.0,0.11974845391359668,2.2038302142440633,0.06178955163121625,74.82079168077992,84.99933003632088,2.035707671108193,0.9237134775404928,0.9883643027479173,"{'const': 0.3777732947252339, 'Age_zscore': 0.2913514889592966, 'Gender_F': -0.07286055741950019, 'Education': -0.03782724213482232, 'Handedness_right': 0.24229654054187072, 'IAF_fc_zscore': 0.028110042894566506}","{'const': 0.58417870574733, 'Age_zscore': 0.014216816117072715, 'Gender_F': 0.8021532070299149, 'Education': 0.3400280266423277, 'Handedness_right': 0.46246057415825215, 'IAF_fc_zscore': 0.8061330320575489}","{'const': 0.5494934373332222, 'Age_zscore': 2.50589755855914, 'Gender_F': -0.25138489978654693, 'Education': -0.9597683439963063, 'Handedness_right': 0.7383089036707552, 'IAF_fc_zscore': 0.24622230990169022}","{'Age_zscore': 0.29175868779546305, 'Gender_F': -0.027844343938608348, 'Education': -0.10885707627931629, 'Handedness_right': 0.081467234610045, 'IAF_fc_zscore': 0.0284389385820335}","{'Age_zscore': 0.26822986561879597, 'Gender_F': -0.027920766080275744, 'Education': -0.10603967485584624, 'Handedness_right': 0.08175967772629669, 'IAF_fc_zscore': 0.027347801951889367}","{'Age_zscore': 0.2612306925806982, 'Gender_F': -0.026205960116473373, 'Education': -0.10005235384136915, 'Handedness_right': 0.07696601386822188, 'IAF_fc_zscore': 0.025667778926055245}","{'Age_zscore': 6.824147474619124, 'Gender_F': 0.06867523456261931, 'Education': 1.0010473509198536, 'Handedness_right': 0.5923767290763323, 'IAF_fc_zscore': 0.06588348749968458}",0.0006588348749969608,0.06062542589333389,0.8061330320575287
3,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right', 'IAF_fc_zscore', 'Age_IAF_fc']",87.0,80.0,6.0,0.12700341947448068,1.9397314538243011,0.08437390609359911,74.2041244686682,84.99933003632088,1.7992009279421144,0.9275515558583525,0.9883643027479173,"{'const': 0.40811882911720043, 'Age_zscore': 0.2819933104066463, 'Gender_F': -0.09239213036884399, 'Education': -0.03782347870587275, 'Handedness_right': 0.25961782495913505, 'IAF_fc_zscore': 0.04970441731754269, 'Age_IAF_fc': 0.09942583245384613}","{'const': 0.5558260300962217, 'Age_zscore': 0.018307060271499122, 'Gender_F': 0.7520418386838494, 'Education': 0.34110677044387194, 'Handedness_right': 0.43313665066542006, 'IAF_fc_zscore': 0.6732292165408811, 'Age_IAF_fc': 0.41727969501668327}","{'const': 0.5915408059956202, 'Age_zscore': 2.408725994626977, 'Gender_F': -0.3170364491656026, 'Education': -0.9576852961239178, 'Handedness_right': 0.7878087174322375, 'IAF_fc_zscore': 0.4232766111925102, 'Age_IAF_fc': 0.8153731380416466}","{'Age_zscore': 0.2823874300599025, 'Gender_F': -0.03530851734222816, 'Education': -0.10884624609849648, 'Handedness_right': 0.08729116068927327, 'IAF_fc_zscore': 0.05028597347400659, 'Age_IAF_fc': 0.08926949938904313}","{'Age_zscore': 0.260039182972552, 'Gender_F': -0.035423506498124056, 'Education': -0.10646393171887819, 'Handedness_right': 0.08774000493437885, 'IAF_fc_zscore': 0.04727086093920984, 'Age_IAF_fc': 0.09078503792288885}","{'Age_zscore': 0.2516220390052081, 'Gender_F': -0.03311848585350345, 'Education': -0.10004239895842754, 'Handedness_right': 0.08229663160880803, 'IAF_fc_zscore': 0.04421662082322729, 'Age_IAF_fc': 0.08517608561611673}","{'Age_zscore': 6.331365051313845, 'Gender_F': 0.10968341052287083, 'Education': 1.0008481589357183, 'Handedness_right': 0.677273557415586, 'IAF_fc_zscore': 0.1955109557025057, 'Age_IAF_fc': 0.7254965560884046}",0.007254965560884008,0.6648333542398732,0.4172796950166866
