Model Level,Predictors,N (observations),DF (residuals),DF (model),R-squared,F-value,P-value (F),SSR,SSTO,MSE (model),MSE (residuals),MSE (total),Beta coefs,P-values (beta coefs),T-values (beta coefs),Std Beta coefs,Partial correlations,Semi-partial correlations,Unique variance %,R-squared change,F-value change,P-value (F-value change)
1,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right']",87.0,82.0,4.0,0.10737916293787364,2.4660782594672974,0.05127979668884073,78.50007110320772,87.9433549429276,2.3608209599299705,0.957317940283021,1.0225971504991582,"{'const': 0.16020144456217103, 'Age_zscore': -0.2363707169642146, 'Gender_F': 0.039014421019185064, 'Education': 0.021319585887842447, 'Handedness_right': -0.5759040691767644}","{'const': 0.8157040741573242, 'Age_zscore': 0.03398115045802423, 'Gender_F': 0.8934561246896287, 'Education': 0.5813087063874849, 'Handedness_right': 0.08757218168757729}","{'const': 0.23382441189038525, 'Age_zscore': -2.1564062313527685, 'Gender_F': 0.13434860744597638, 'Education': 0.5536738630448732, 'Handedness_right': -1.7290010337811328}","{'Age_zscore': -0.23270540154832095, 'Gender_F': 0.014658040016959513, 'Education': 0.06031661873105175, 'Handedness_right': -0.19036720993120854}","{'Age_zscore': -0.23165734492628443, 'Gender_F': 0.014834689156619462, 'Education': 0.06102907829805357, 'Handedness_right': -0.18754813827709246}","{'Age_zscore': -0.224986863989127, 'Gender_F': 0.014017151050251631, 'Education': 0.057767105431271566, 'Handedness_right': -0.18039389553254248}","{'Age_zscore': 5.061908896766194, 'Gender_F': 0.01964805235655704, 'Education': 0.3337038469907645, 'Handedness_right': 3.254195754540585}",,,
2,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right', 'IAF_fc_zscore']",87.0,81.0,5.0,0.11014348436192323,2.0051822010694575,0.08660463952009417,78.25696740303619,87.9433549429276,1.9372775079782827,0.9661354000374838,1.0225971504991582,"{'const': 0.08817062407961711, 'Age_zscore': -0.21386504550071625, 'Gender_F': 0.012679675522738992, 'Education': 0.027003028332237607, 'Handedness_right': -0.5628289373662935, 'IAF_fc_zscore': 0.05856811565528954}","{'const': 0.900515947666607, 'Age_zscore': 0.07580651004727969, 'Gender_F': 0.9659850297358912, 'Education': 0.504813260601469, 'Handedness_right': 0.09741004106178917, 'IAF_fc_zscore': 0.6172939824446438}","{'const': 0.12540210117497452, 'Age_zscore': -1.7986038638658077, 'Gender_F': 0.04277642439239372, 'Education': 0.6699214085609416, 'Handedness_right': -1.6769377954407727, 'IAF_fc_zscore': 0.5016222442593022}","{'Age_zscore': -0.21054871741125478, 'Gender_F': 0.004763858756816492, 'Education': 0.07639601318091983, 'Handedness_right': -0.18604517698256104, 'IAF_fc_zscore': 0.058253143094489375}","{'Age_zscore': -0.1959698653345466, 'Gender_F': 0.0047528823591440105, 'Education': 0.07423035298731354, 'Handedness_right': -0.183173877611807, 'IAF_fc_zscore': 0.05564943501523308}","{'Age_zscore': -0.18851807871400575, 'Gender_F': 0.0044835494367157615, 'Education': 0.07021684950672874, 'Handedness_right': -0.17576582463239965, 'IAF_fc_zscore': 0.05257681451029362}","{'Age_zscore': 3.5539066002020068, 'Gender_F': 0.0020102215551474224, 'Education': 0.4930405954650592, 'Handedness_right': 3.089362510870747, 'IAF_fc_zscore': 0.2764321424049822}",0.0027643214240495873,0.2516248759357126,0.617293982444656
3,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right', 'IAF_fc_zscore', 'Age_IAF_fc']",87.0,80.0,6.0,0.1204725222196561,1.8263219022058164,0.10433789481123061,77.34859716049465,87.9433549429276,1.765792963738825,0.9668574645061832,1.0225971504991582,"{'const': 0.05134070112559268, 'Age_zscore': -0.20250716362484572, 'Gender_F': 0.03638485459797298, 'Education': 0.026998460714595333, 'Handedness_right': -0.583851522182644, 'IAF_fc_zscore': 0.03235934516650498, 'Age_IAF_fc': -0.12067165144023054}","{'const': 0.9420782849485045, 'Age_zscore': 0.09410824810768884, 'Gender_F': 0.9029778718494434, 'Education': 0.5050675490329545, 'Handedness_right': 0.08653699244442811, 'IAF_fc_zscore': 0.7879255518657176, 'Age_IAF_fc': 0.3353257972792436}","{'const': 0.07288659698527925, 'Age_zscore': -1.6942472381048213, 'Gender_F': 0.12228766701315393, 'Education': 0.6695579270482778, 'Handedness_right': -1.7353076993204755, 'IAF_fc_zscore': 0.2699086549454983, 'Age_IAF_fc': -0.969282165846635}","{'Age_zscore': -0.19936695811125235, 'Gender_F': 0.013670090207056505, 'Education': 0.0763830906385549, 'Handedness_right': -0.19299426977635148, 'IAF_fc_zscore': 0.03218532034602247, 'Age_IAF_fc': -0.10651612442716221}","{'Age_zscore': -0.18611307113153558, 'Gender_F': 0.01367089913249026, 'Education': 0.07464998063776164, 'Handedness_right': -0.19046180898768694, 'IAF_fc_zscore': 0.030162974425988018, 'Age_IAF_fc': -0.1077382562594985}","{'Age_zscore': -0.17764643596061439, 'Gender_F': 0.012822194847503871, 'Education': 0.07020497170315902, 'Handedness_right': -0.18195173711726265, 'IAF_fc_zscore': 0.028300657370187096, 'Age_IAF_fc': -0.10163187422129222}","{'Age_zscore': 3.155825620950867, 'Gender_F': 0.01644086807073548, 'Education': 0.49287380518413587, 'Handedness_right': 3.3106434639989453, 'IAF_fc_zscore': 0.08009272075847253, 'Age_IAF_fc': 1.0329037857732561}",0.01032903785773287,0.9395079170283731,0.3353257972792336
