Model Level,Predictors,N (observations),DF (residuals),DF (model),R-squared,F-value,P-value (F),SSR,SSTO,MSE (model),MSE (residuals),MSE (total),Beta coefs,P-values (beta coefs),T-values (beta coefs),Std Beta coefs,Partial correlations,Semi-partial correlations,Unique variance %,R-squared change,F-value change,P-value (F-value change)
1,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right']",87.0,82.0,4.0,0.10444627113977345,2.3908655498430016,0.05735619503993659,80.6529573773196,90.05931724494835,2.351589966907188,0.9835726509429219,1.0472013633133528,"{'const': 0.228622339022823, 'Age_zscore': -0.23931151136610815, 'Gender_F': 0.10019391332176726, 'Education': 0.01471780411246435, 'Handedness_right': -0.6134299096656224}","{'const': 0.7428398095017275, 'Age_zscore': 0.03418380861302723, 'Gender_F': 0.7344348434931427, 'Education': 0.707082061696529, 'Handedness_right': 0.07288344685295002}","{'const': 0.32920540972118706, 'Age_zscore': -2.153899184794547, 'Gender_F': 0.3403879826927159, 'Education': 0.37708838268188616, 'Handedness_right': -1.8169163373961064}","{'Age_zscore': -0.2328164007429956, 'Gender_F': 0.03719882874299369, 'Education': 0.04114702409362699, 'Handedness_right': -0.20037527659184884}","{'Age_zscore': -0.23140244872007906, 'Gender_F': 0.037563035932064885, 'Education': 0.04160638651284784, 'Handedness_right': -0.19672402334445419}","{'Age_zscore': -0.2250941814839033, 'Gender_F': 0.03557239581688384, 'Education': 0.03940778725674643, 'Handedness_right': -0.189877640828357}","{'Age_zscore': 5.066739053790839, 'Gender_F': 0.12653953441530547, 'Education': 0.15529736964729862, 'Handedness_right': 3.605351848654255}",,,
2,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right', 'IAF_fc_zscore']",87.0,81.0,5.0,0.1092003283862868,1.985907018413198,0.08946717643423152,80.22481022755521,90.05931724494835,1.9669014034786272,0.9904297558957433,1.0472013633133528,"{'const': 0.1330308766003356, 'Age_zscore': -0.2094444345567177, 'Gender_F': 0.06524530635512842, 'Education': 0.022260250126741942, 'Handedness_right': -0.5960780183119426, 'IAF_fc_zscore': 0.07772522635882669}","{'const': 0.8522295133528497, 'Age_zscore': 0.08571202583242084, 'Gender_F': 0.8284459546104137, 'Education': 0.5869484668295668, 'Handedness_right': 0.08319807606287109, 'IAF_fc_zscore': 0.5127343038498544}","{'const': 0.18687039747092998, 'Age_zscore': -1.7396893149112307, 'Gender_F': 0.21739661243049116, 'Education': 0.5454420076632579, 'Handedness_right': -1.7540856649544656, 'IAF_fc_zscore': 0.6574832433047382}","{'Age_zscore': -0.20375994088537064, 'Gender_F': 0.02422351714713692, 'Education': 0.062233675709782804, 'Handedness_right': -0.19470732663603316, 'IAF_fc_zscore': 0.07639365635374525}","{'Age_zscore': -0.1897857105456663, 'Gender_F': 0.02414813529765712, 'Education': 0.06049367495411922, 'Handedness_right': -0.19129898676159185, 'IAF_fc_zscore': 0.07285953249523304}","{'Age_zscore': -0.18243964174600066, 'Gender_F': 0.022798185715497885, 'Education': 0.057200009000676406, 'Handedness_right': -0.18394937392738822, 'IAF_fc_zscore': 0.06894967183760337}","{'Age_zscore': 3.328422288040907, 'Gender_F': 0.05197572719183319, 'Education': 0.3271841029677462, 'Handedness_right': 3.383737216827809, 'IAF_fc_zscore': 0.4754057246513194}",0.0047540572465133435,0.4322842152265257,0.5127343038498495
3,"['Age_zscore', 'Gender_F', 'Education', 'Handedness_right', 'IAF_fc_zscore', 'Age_IAF_fc']",87.0,80.0,6.0,0.1157298310052135,1.7450146657745558,0.12128721965975332,79.63676767974556,90.05931724494835,1.7370915942004643,0.9954595959968195,1.0472013633133528,"{'const': 0.10339800519902552, 'Age_zscore': -0.20030603224620838, 'Gender_F': 0.08431818152671977, 'Education': 0.022256575081687487, 'Handedness_right': -0.6129925134403655, 'IAF_fc_zscore': 0.056637994478105615, 'Age_IAF_fc': -0.09709082295327848}","{'const': 0.8853381672206533, 'Age_zscore': 0.1025402689211677, 'Gender_F': 0.7807443924142168, 'Education': 0.5879733075408788, 'Handedness_right': 0.07634139663832466, 'IAF_fc_zscore': 0.6427811450771252, 'Age_IAF_fc': 0.44440205715885617}","{'const': 0.14466632442305197, 'Age_zscore': -1.65158082620492, 'Gender_F': 0.27928824441285455, 'Education': 0.5439724374452036, 'Handedness_right': -1.7955547652869637, 'IAF_fc_zscore': 0.46558004909379913, 'Age_IAF_fc': -0.7685861542440233}","{'Age_zscore': -0.19486956230588218, 'Gender_F': 0.03130467201595654, 'Education': 0.062223401271677414, 'Handedness_right': -0.2002324022581473, 'IAF_fc_zscore': 0.055667685890687144, 'Age_IAF_fc': -0.08468870108634685}","{'Age_zscore': -0.1815826319870258, 'Gender_F': 0.03121016336836595, 'Education': 0.060705800954044646, 'Handedness_right': -0.19682230745928928, 'IAF_fc_zscore': 0.0519830539820781, 'Age_IAF_fc': -0.08561503253845876}","{'Age_zscore': -0.17363901997003556, 'Gender_F': 0.0293629813809559, 'Education': 0.057190565202757185, 'Handedness_right': -0.18877572614073898, 'IAF_fc_zscore': 0.04894877814004033, 'Age_IAF_fc': -0.08080533781209699}","{'Age_zscore': 3.0150509256154407, 'Gender_F': 0.08621846755783628, 'Education': 0.32707607482108214, 'Handedness_right': 3.563627477996328, 'IAF_fc_zscore': 0.23959828814028905, 'Age_IAF_fc': 0.6529502618927112}",0.006529502618926708,0.5907246764955795,0.4444020571588677
