,Subject,Age,Gender_F,Education,Handedness_right,IAF_po,IAF_fc,Exponent_po,Exponent_fc,DMSPCAD,PALTEA,SWMBE_OR,DMSPCAD_z,PALTEA_z,SWMBE_OR_z,Age_zscore,Exponent_po_zscore,Exponent_fc_zscore,IAF_po_zscore,IAF_fc_zscore,Age_Exponent_po,Age_IAF_po,IAF_Exponent_po,Age_Exponent_fc,Age_IAF_fc,IAF_Exponent_fc
count,99.0,99.0,99.0,99.0,99.0,92.0,87.0,95.0,91.0,99.0,99.0,98.0,99.0,99.0,98.0,99.0,95.0,91.0,92.0,87.0,95.0,92.0,92.0,91.0,87.0,87.0
mean,65.79797979797979,65.47033849757577,0.8080808080808081,14.787878787878787,0.8686868686868687,9.735978260869567,9.6083908045977,0.9332697789473684,0.9422226593406593,83.44444444444444,19.595959595959595,17.275510204081634,1.356939252319636e-16,4.0932465049311326e-17,-1.450087215836939e-16,-1.1775092685418326e-15,7.009013252830923e-16,2.2341713338954043e-16,-3.2528327857359886e-15,6.967606568337189e-16,-0.18445894273787436,-0.22493235007974652,-0.17249594386294015,-0.20626285788167725,-0.30319586929504133,-0.10542972294926298
std,37.88192714264157,8.29583856905284,0.39581400694934926,2.8572240248210927,0.3394612973180146,1.087728816178093,1.1223230409675078,0.18532844910671883,0.2131598117368083,12.0248231538799,14.631472362976837,7.395708719856872,1.0050890913907349,1.0050890913907349,1.0051414220648334,1.0050890913907349,1.005305077015102,1.0055402085998904,1.0054794930723405,1.0057971500142282,0.9476711210995307,0.8570090756105868,1.1598486190886224,0.9591122524541653,0.8926113178227216,0.8956970031403451
min,1.0,50.1622289,0.0,9.0,0.0,7.03,7.0,0.498648,0.417352,47.0,0.0,0.0,-3.0461914561369547,-1.346117788874763,-2.347892751211841,-1.854666509993803,-2.3575845104359883,-2.4759758792291717,-2.50136395169146,-2.33757299959383,-2.9292033334522856,-2.8871284539553623,-3.844357663440141,-3.634493466885548,-3.343504898694515,-2.809012409915164
25%,34.0,59.541743804999996,1.0,12.5,1.0,9.035,8.83,0.800972,0.8046519999999999,73.0,10.0,13.0,-0.8729938929172979,-0.6591813914592911,-0.5810791865078332,-0.7182837278215313,-0.7176428092646747,-0.6489629933687158,-0.6479733329768349,-0.6975738929735781,-0.7391782260625219,-0.8038705853343394,-0.4155120091771622,-0.6172615164270108,-0.7958911884794178,-0.4123215238087751
50%,65.0,65.20330195,1.0,15.0,1.0,9.754999999999999,9.63,0.946649,0.935343,87.0,14.0,19.0,0.297189410354825,-0.3844068324931023,0.2343732279709396,-0.0323530308282859,0.0725749280024074,-0.0324534631182925,0.01758339793315595,0.0193656071882814,-0.0805181368763951,-0.132365790219055,-0.13769033737346065,-0.0862218163887961,-0.1619374421661985,-0.0295023374471452
75%,100.0,71.689926115,1.0,17.0,1.0,10.532499999999999,10.52,1.048454,1.075428,93.0,25.5,22.0,0.7986965403285919,0.40557002453469027,0.6420994352103261,0.7535392130871365,0.6248111543282884,0.6283704462949838,0.7362922288810965,0.8169608011183482,0.27693114028533117,0.1692995629804559,0.11641297453676891,0.2606230175015657,0.1871656495200047,0.3180487917113296
max,130.0,84.03626876,1.0,20.0,1.0,11.9,12.32,1.364308,1.557218,100.0,57.0,30.0,1.3837881919646533,2.5694196763934265,1.7293693211820231,2.2493704310852123,2.3381456765023936,2.901121642470323,2.000387825435836,2.4300746764825316,2.755037958315724,2.119000997871242,4.271716915452467,2.1648428110763724,1.4992837503637724,2.460870172747819
